DATE,IRLTLT01EZM156N
2005-04-01,3.5709
2005-05-01,3.4074
2005-06-01,3.2541
2005-07-01,3.316
2005-08-01,3.3155
2005-09-01,3.1555
2005-10-01,3.3234
2005-11-01,3.5273
2005-12-01,3.409
2006-01-01,3.3927
2006-02-01,3.551
2006-03-01,3.7312
2006-04-01,4.0116
2006-05-01,4.0603
2006-06-01,4.0751
2006-07-01,4.0963
2006-08-01,3.9682
2006-09-01,3.8398
2006-10-01,3.8813
2006-11-01,3.8041
2006-12-01,3.9026
2007-01-01,4.1028
2007-02-01,4.1175
2007-03-01,4.0227
2007-04-01,4.2459
2007-05-01,4.3731
2007-06-01,4.6608
2007-07-01,4.6284
2007-08-01,4.4263
2007-09-01,4.3694
2007-10-01,4.4002
2007-11-01,4.2515
2007-12-01,4.3818
2008-01-01,4.2317
2008-02-01,4.1394
2008-03-01,4.0705
2008-04-01,4.2827
2008-05-01,4.4233
2008-06-01,4.8093
2008-07-01,4.8145
2008-08-01,4.496
2008-09-01,4.5043
2008-10-01,4.4158
2008-11-01,4.1964
2008-12-01,3.8881
2009-01-01,4.0995
2009-02-01,4.1962
2009-03-01,4.142
2009-04-01,4.0897
2009-05-01,4.1323
2009-06-01,4.3255
2009-07-01,4.0897
2009-08-01,3.8915
2009-09-01,3.8672
2009-10-01,3.8036
2009-11-01,3.8364
2009-12-01,3.8727
2010-01-01,4.102
2010-02-01,4.1074
2010-03-01,3.986
2010-04-01,4.1563
2010-05-01,3.6784
2010-06-01,3.6868
2010-07-01,3.6097
2010-08-01,3.4364
2010-09-01,3.4921
2010-10-01,3.3282
2010-11-01,3.7165
2010-12-01,4.0714
2011-01-01,3.939
2011-02-01,4.4733
2011-03-01,4.4875
2011-04-01,4.6574
2011-05-01,4.3656
2011-06-01,4.3748
2011-07-01,4.5978
2011-08-01,4.2027
2011-09-01,4.0351
2011-10-01,4.0761
2011-11-01,4.3919
2011-12-01,4.0908
2012-01-01,3.9047
2012-02-01,3.7447
2012-03-01,3.2821
2012-04-01,3.3817
2012-05-01,3.5252
2012-06-01,3.4055
2012-07-01,3.2488
2012-08-01,3.008
2012-09-01,2.4182
2012-10-01,2.3053
2012-11-01,2.2467
2012-12-01,2.0989
2013-01-01,2.3926
2013-02-01,2.8576
2013-03-01,3.0266
2013-04-01,2.8554
2013-05-01,2.6849
2013-06-01,3.0704
2013-07-01,3.1012
2013-08-01,3.0965
2013-09-01,3.4065
2013-10-01,3.163
2013-11-01,3.1712
2013-12-01,3.3128
2014-01-01,3.2117
2014-02-01,3.089
2014-03-01,2.8861
2014-04-01,2.6104
2014-05-01,2.5549
2014-06-01,2.2769
2014-07-01,2.1607
2014-08-01,1.9907
2014-09-01,1.849
2014-10-01,1.6914
2014-11-01,1.6196
2014-12-01,1.4509
2015-01-01,1.2699
2015-02-01,1.2147
2015-03-01,0.9554
2015-04-01,0.8523
2015-05-01,1.3351
2015-06-01,1.6688
2015-07-01,1.5298
2015-08-01,1.3932
2015-09-01,1.4823
2015-10-01,1.2025
2015-11-01,1.1552
2015-12-01,1.1947
2016-01-01,1.1142
2016-02-01,1.0403
2016-03-01,0.9314
2016-04-01,0.9626
2016-05-01,0.9719
2016-06-01,0.8793
2016-07-01,0.6213
2016-08-01,0.6133
2016-09-01,0.7354
2016-10-01,0.7753
2016-11-01,1.2343
2016-12-01,1.2882
2017-01-01,1.3139
2017-02-01,1.4452
2017-03-01,1.4599
2017-04-01,1.2643
2017-05-01,1.1762
2017-06-01,1.0719
2017-07-01,1.2079
2017-08-01,1.0443
2017-09-01,1.115
2017-10-01,1.1493
2017-11-01,0.9476
2017-12-01,0.88
2018-01-01,1.0339
2018-02-01,1.2731
2018-03-01,1.1717
2018-04-01,1.1286
2018-05-01,1.2359
2018-06-01,1.2872
2018-07-01,1.1987
2018-08-01,1.3674
2018-09-01,1.3218
2018-10-01,1.5603
2018-11-01,1.4073
2018-12-01,1.2131
2019-01-01,1.2065
2019-02-01,1.1245
2019-03-01,0.9948
2019-04-01,0.9513
