DATE,EXGEUS
1987-01-01,1.8596
1987-02-01,1.8239
1987-03-01,1.8355
1987-04-01,1.8118
1987-05-01,1.7881
1987-06-01,1.8189
1987-07-01,1.8482
1987-08-01,1.8553
1987-09-01,1.8134
1987-10-01,1.8006
1987-11-01,1.6821
1987-12-01,1.6335
1988-01-01,1.6537
1988-02-01,1.6965
1988-03-01,1.677
1988-04-01,1.671
1988-05-01,1.6935
1988-06-01,1.7579
1988-07-01,1.8466
1988-08-01,1.888
1988-09-01,1.8668
1988-10-01,1.8165
1988-11-01,1.7491
1988-12-01,1.7564
1989-01-01,1.8357
1989-02-01,1.8505
1989-03-01,1.8686
1989-04-01,1.8697
1989-05-01,1.9461
1989-06-01,1.9789
1989-07-01,1.8901
1989-08-01,1.9268
1989-09-01,1.9502
1989-10-01,1.8662
1989-11-01,1.83
1989-12-01,1.7378
1990-01-01,1.6914
1990-02-01,1.6758
1990-03-01,1.7053
1990-04-01,1.6863
1990-05-01,1.663
1990-06-01,1.6832
1990-07-01,1.6375
1990-08-01,1.5702
1990-09-01,1.5701
1990-10-01,1.5238
1990-11-01,1.4857
1990-12-01,1.4982
1991-01-01,1.5091
1991-02-01,1.4805
1991-03-01,1.6122
1991-04-01,1.7027
1991-05-01,1.7199
1991-06-01,1.7828
1991-07-01,1.7852
1991-08-01,1.7435
1991-09-01,1.6933
1991-10-01,1.6893
1991-11-01,1.6208
1991-12-01,1.563
1992-01-01,1.5788
1992-02-01,1.6186
1992-03-01,1.6616
1992-04-01,1.6493
1992-05-01,1.6225
1992-06-01,1.5726
1992-07-01,1.4914
1992-08-01,1.4475
1992-09-01,1.4514
1992-10-01,1.4851
1992-11-01,1.5875
1992-12-01,1.5822
1993-01-01,1.6144
1993-02-01,1.6414
1993-03-01,1.6466
1993-04-01,1.5964
1993-05-01,1.6071
1993-06-01,1.6547
1993-07-01,1.7157
1993-08-01,1.6944
1993-09-01,1.6219
1993-10-01,1.6405
1993-11-01,1.7005
1993-12-01,1.7105
1994-01-01,1.7426
1994-02-01,1.7355
1994-03-01,1.6909
1994-04-01,1.6984
1994-05-01,1.6565
1994-06-01,1.6271
1994-07-01,1.5674
1994-08-01,1.5646
1994-09-01,1.5491
1994-10-01,1.5195
1994-11-01,1.5396
1994-12-01,1.5716
1995-01-01,1.5302
1995-02-01,1.5022
1995-03-01,1.4061
1995-04-01,1.3812
1995-05-01,1.4096
1995-06-01,1.4012
1995-07-01,1.3886
1995-08-01,1.4456
1995-09-01,1.4601
1995-10-01,1.4143
1995-11-01,1.4173
1995-12-01,1.4406
1996-01-01,1.4635
1996-02-01,1.4669
1996-03-01,1.4776
1996-04-01,1.5044
1996-05-01,1.5324
1996-06-01,1.5282
1996-07-01,1.5025
1996-08-01,1.4826
1996-09-01,1.508
1996-10-01,1.5277
1996-11-01,1.5118
1996-12-01,1.5525
1997-01-01,1.6047
1997-02-01,1.6747
1997-03-01,1.6946
1997-04-01,1.7119
1997-05-01,1.7048
1997-06-01,1.7277
1997-07-01,1.7939
1997-08-01,1.84
1997-09-01,1.7862
1997-10-01,1.7575
1997-11-01,1.7323
1997-12-01,1.7788
1998-01-01,1.8165
1998-02-01,1.8123
1998-03-01,1.8272
1998-04-01,1.8132
1998-05-01,1.7753
1998-06-01,1.7928
1998-07-01,1.7976
1998-08-01,1.7869
1998-09-01,1.699
1998-10-01,1.6381
1998-11-01,1.6827
1998-12-01,1.6698
1999-01-01,1.6874
1999-02-01,1.7458
1999-03-01,1.7966
1999-04-01,1.8277
1999-05-01,1.8399
1999-06-01,1.8848
1999-07-01,1.8860
1999-08-01,1.8443
1999-09-01,1.8632
1999-10-01,1.8269
1999-11-01,1.8937
1999-12-01,1.9345
2000-01-01,1.9305
