DATE,EXKOUS
2005-01-01,1037.9825
2005-02-01,1023.1105
2005-03-01,1007.7761
2005-04-01,1010.0667
2005-05-01,1001.8386
2005-06-01,1012.46
2005-07-01,1036.56
2005-08-01,1021.6804
2005-09-01,1029.8433
2005-10-01,1045.8775
2005-11-01,1040.76
2005-12-01,1022.3810
2006-01-01,981.4350
2006-02-01,969.8447
2006-03-01,974.7109
2006-04-01,952.5950
2006-05-01,940.8168
2006-06-01,954.45
2006-07-01,950.81
2006-08-01,960.9522
2006-09-01,952.29
2006-10-01,952.6429
2006-11-01,935.4143
2006-12-01,924.98
2007-01-01,936.7619
2007-02-01,936.90
2007-03-01,942.8841
2007-04-01,930.6905
2007-05-01,927.5636
2007-06-01,927.8667
2007-07-01,918.1190
2007-08-01,934.4848
2007-09-01,928.5950
2007-10-01,914.9435
2007-11-01,918.8095
2007-12-01,931.0950
2008-01-01,942.0571
2008-02-01,944.0050
2008-03-01,981.7348
2008-04-01,986.8636
2008-05-01,1034.1333
2008-06-01,1031.4857
2008-07-01,1015.0545
2008-08-01,1046.1143
2008-09-01,1134.8667
2008-10-01,1329.1877
2008-11-01,1398.7044
2008-12-01,1361.5727
2009-01-01,1354.3975
2009-02-01,1439.5842
2009-03-01,1449.6159
2009-04-01,1332.1250
2009-05-01,1254.3450
2009-06-01,1259.2932
2009-07-01,1259.6739
2009-08-01,1238.9952
2009-09-01,1211.8643
2009-10-01,1173.7405
2009-11-01,1162.8368
2009-12-01,1163.3109
2010-01-01,1138.1947
2010-02-01,1155.6553
2010-03-01,1136.0822
2010-04-01,1115.4591
2010-05-01,1164.8410
2010-06-01,1214.1114
2010-07-01,1203.8095
2010-08-01,1179.5159
2010-09-01,1159.9310
2010-10-01,1121.9400
2010-11-01,1129.6230
2010-12-01,1145.4833
2011-01-01,1118.8675
2011-02-01,1117.4368
2011-03-01,1119.2674
2011-04-01,1083.1762
2011-05-01,1084.3619
2011-06-01,1080.4523
2011-07-01,1057.4250
2011-08-01,1073.8870
2011-09-01,1121.9095
2011-10-01,1150.6850
2011-11-01,1133.4775
2011-12-01,1148.1262
2012-01-01,1140.3275
2012-02-01,1122.6900
2012-03-01,1126.1700
2012-04-01,1135.0238
2012-05-01,1156.6914
2012-06-01,1163.3886
2012-07-01,1142.2781
2012-08-01,1131.7457
2012-09-01,1122.9911
2012-10-01,1105.3823
2012-11-01,1086.9525
2012-12-01,1075.2225
2013-01-01,1066.5205
2013-02-01,1087.3084
2013-03-01,1102.8710
2013-04-01,1120.8977
2013-05-01,1111.4945
2013-06-01,1135.0085
2013-07-01,1125.0300
2013-08-01,1115.9418
2013-09-01,1082.3115
2013-10-01,1065.8573
2013-11-01,1061.5637
2013-12-01,1055.6348
2014-01-01,1067.1267
2014-02-01,1071.3063
2014-03-01,1070.4910
2014-04-01,1042.6350
2014-05-01,1024.7867
2014-06-01,1018.7443
2014-07-01,1021.0341
2014-08-01,1024.5500
2014-09-01,1035.8914
2014-10-01,1060.3359
2014-11-01,1097.8728
2014-12-01,1102.6224
2015-01-01,1088.1300
2015-02-01,1101.4605
2015-03-01,1112.9005
2015-04-01,1084.6709
2015-05-01,1092.6365
2015-06-01,1112.8832
2015-07-01,1146.5468
2015-08-01,1178.1438
2015-09-01,1184.3300
2015-10-01,1143.1990
2015-11-01,1153.4721
2015-12-01,1169.9464
2016-01-01,1203.3179
2016-02-01,1216.2285
2016-03-01,1181.5730
2016-04-01,1145.7967
2016-05-01,1173.7905
2016-06-01,1165.2023
2016-07-01,1140.8650
2016-08-01,1110.0183
2016-09-01,1108.3638
2016-10-01,1128.1660
2016-11-01,1162.7080
2016-12-01,1183.0700
2017-01-01,1179.1074
2017-02-01,1140.4874
2017-03-01,1133.8617
2017-04-01,1134.1755
2017-05-01,1125.1359
2017-06-01,1130.8464
2017-07-01,1131.746
2017-08-01,1130.27
2017-09-01,1131.599
2017-10-01,1130.8838
2017-11-01,1099.7945
2017-12-01,1082.902
2018-01-01,1065.641
2018-02-01,1078.4747
2018-03-01,1069.9418
2018-04-01,1068.0452
2018-05-01,1076.6595
2018-06-01,1094.3552
2018-07-01,1122.2029
2018-08-01,1120.4270
2018-09-01,1119.8200
2018-10-01,1131.6150
2018-11-01,1125.3450
2018-12-01,1122.4244
2019-01-01,1120.3300
2019-02-01,1121.8333
2019-03-01,1131.6005
2019-04-01,1142.1650
2019-05-01,1181.7778
