DATE,EXMXUS
1993-11-01,3.1498
1993-12-01,3.1083
1994-01-01,3.1078
1994-02-01,3.1218
1994-03-01,3.3026
1994-04-01,3.3495
1994-05-01,3.3167
1994-06-01,3.3671
1994-07-01,3.4031
1994-08-01,3.3814
1994-09-01,3.4022
1994-10-01,3.4212
1994-11-01,3.4425
1994-12-01,3.9748
1995-01-01,5.6405
1995-02-01,5.6779
1995-03-01,6.777
1995-04-01,6.2285
1995-05-01,5.9741
1995-06-01,6.233
1995-07-01,6.122
1995-08-01,6.2047
1995-09-01,6.3167
1995-10-01,6.7452
1995-11-01,7.6936
1995-12-01,7.687
1996-01-01,7.4806
1996-02-01,7.5183
1996-03-01,7.5682
1996-04-01,7.4694
1996-05-01,7.4368
1996-06-01,7.5648
1996-07-01,7.6179
1996-08-01,7.5143
1996-09-01,7.5441
1996-10-01,7.7345
1996-11-01,7.9119
1996-12-01,7.8769
1997-01-01,7.8289
1997-02-01,7.8023
1997-03-01,7.9562
1997-04-01,7.9059
1997-05-01,7.9037
1997-06-01,7.9498
1997-07-01,7.8679
1997-08-01,7.7818
1997-09-01,7.7809
1997-10-01,7.8708
1997-11-01,8.2716
1997-12-01,8.1271
1998-01-01,8.2272
1998-02-01,8.5021
1998-03-01,8.5681
1998-04-01,8.5017
1998-05-01,8.5848
1998-06-01,8.92
1998-07-01,8.899
1998-08-01,9.3712
1998-09-01,10.2192
1998-10-01,10.1594
1998-11-01,9.9685
1998-12-01,9.9067
1999-01-01,10.1279
1999-02-01,10.0057
1999-03-01,9.7324
1999-04-01,9.4304
1999-05-01,9.3955
1999-06-01,9.5146
1999-07-01,9.3699
1999-08-01,9.3979
1999-09-01,9.3413
1999-10-01,9.5752
1999-11-01,9.4161
1999-12-01,9.4271
2000-01-01,9.4935
2000-02-01,9.4265
2000-03-01,9.2886
2000-04-01,9.3937
2000-05-01,9.5059
2000-06-01,9.8343
2000-07-01,9.4192
2000-08-01,9.2724
2000-09-01,9.3615
2000-10-01,9.537
2000-11-01,9.5081
2000-12-01,9.4673
2001-01-01,9.7688
2001-02-01,9.7108
2001-03-01,9.599
2001-04-01,9.3276
2001-05-01,9.1475
2001-06-01,9.0881
2001-07-01,9.1682
2001-08-01,9.1332
2001-09-01,9.4253
2001-10-01,9.3391
2001-11-01,9.225
2001-12-01,9.1574
2002-01-01,9.1636
2002-02-01,9.105
2002-03-01,9.064
2002-04-01,9.1649
2002-05-01,9.5099
2002-06-01,9.7671
2002-07-01,9.7792
2002-08-01,9.8389
2002-09-01,10.0708
2002-10-01,10.0941
2002-11-01,10.1952
2002-12-01,10.2251
2003-01-01,10.6223
2003-02-01,10.9447
2003-03-01,10.9053
2003-04-01,10.5887
2003-05-01,10.2528
2003-06-01,10.5028
2003-07-01,10.4581
2003-08-01,10.783
2003-09-01,10.9229
2003-10-01,11.1796
2003-11-01,11.1494
2003-12-01,11.2515
2004-01-01,10.9203
2004-02-01,11.0319
2004-03-01,11.019
2004-04-01,11.2701
2004-05-01,11.5199
2004-06-01,11.3926
2004-07-01,11.4678
2004-08-01,11.3953
2004-09-01,11.487
2004-10-01,11.4037
2004-11-01,11.371
2004-12-01,11.2012
2005-01-01,11.2627
2005-02-01,11.1373
2005-03-01,11.1552
2005-04-01,11.1121
2005-05-01,10.9764
2005-06-01,10.8197
2005-07-01,10.6724
2005-08-01,10.6862
2005-09-01,10.7858
2005-10-01,10.8354
