DATE,GDP
2005-04-01,12910.022
2005-07-01,13142.873
2005-10-01,13332.316
2006-01-01,13603.933
2006-04-01,13749.806
2006-07-01,13867.469
2006-10-01,14037.228
2007-01-01,14208.569
2007-04-01,14382.363
2007-07-01,14535.003
2007-10-01,14681.501
2008-01-01,14651.039
2008-04-01,14805.611
2008-07-01,14835.187
2008-10-01,14559.543
2009-01-01,14394.547
2009-04-01,14352.85
2009-07-01,14420.312
2009-10-01,14628.021
2010-01-01,14721.35
2010-04-01,14926.098
2010-07-01,15079.917
2010-10-01,15240.843
2011-01-01,15285.828
2011-04-01,15496.189
2011-07-01,15591.85
2011-10-01,15796.46
2012-01-01,16019.758
2012-04-01,16152.257
2012-07-01,16257.151
2012-10-01,16358.863
2013-01-01,16569.591
2013-04-01,16637.926
2013-07-01,16848.748
2013-10-01,17083.137
2014-01-01,17102.932
2014-04-01,17425.766
2014-07-01,17719.836
2014-10-01,17838.454
2015-01-01,17970.422
2015-04-01,18221.299
2015-07-01,18331.093
2015-10-01,18354.372
2016-01-01,18409.13
2016-04-01,18640.732
2016-07-01,18799.648
2016-10-01,18979.245
2017-01-01,19162.55
2017-04-01,19359.123
2017-07-01,19588.074
2017-10-01,19831.829
2018-01-01,20041.047
2018-04-01,20411.924
2018-07-01,20658.204
2018-10-01,20865.14
2019-01-01,21062.691
